id,name,club_id,start_date,url,lat,long,price_1_tab,price_2_tabs,price_3_tabs
1938,Stage badminton avec joueurs TOP 12,95,14.10.2018,tournoi-badminton/stage-badminton-avec-joueurs-top-12-9297.html,44.7891,-0.589153,25,,
1939,Tournoi jeunes,1232,14.10.2018,tournoi-badminton/tournoi-jeunes-9588.html,46.4105,0.0293997,12,,
1940,VétaVoreppe 2018,1345,14.10.2018,tournoi-badminton/vetavoreppe-2018-9274.html,45.2933,5.6364,17,,
1941,tdj,54,14.10.2018,tournoi-badminton/tdj-9738.html,42.5405,3.02758,6,,
1942,Codep25 CDJ 1,1187,14.10.2018,tournoi-badminton/codep25-cdj-1-9589.html,47.1785,6.39183,8,,
1943,Circuit Départemental Jeunes étape de Briançon,1065,14.10.2018,tournoi-badminton/circuit-departemental-jeunes-etape-de-briancon-9681.html,44.8877,6.63688,10,,
1944,TDJ1,1049,14.10.2018,tournoi-badminton/tdj1-9719.html,44.8877,6.63688,7,,
1945,TDJ Simple et double Mougins,1064,14.10.2018,tournoi-badminton/tdj-simple-et-double-mougins-9606.html,43.6182,6.97183,10,,
1946,tournoi des plaous,140,19.10.2018,tournoi-badminton/tournoi-des-plaous-9537.html,47.919,-1.86242,,,
1947,9ème P'tite Plume de Créteil,166,20.10.2018,tournoi-badminton/9eme-p-tite-plume-de-creteil-9320.html,48.7688,2.472,15,20,
1948,24eme Tournoi National de Choisy le Roi,1129,20.10.2018,tournoi-badminton/24eme-tournoi-national-de-choisy-le-roi-9368.html,48.7682,2.41471,15,20,
1949,Oz le BAD le 3 ème,1458,20.10.2018,tournoi-badminton/oz-le-bad-le-3-eme-9420.html,48.7699,2.66808,15,20,
1950,BONDY DOUBLES,1693,20.10.2018,tournoi-badminton/bondy-doubles-9305.html,48.8904,2.48739,15,20,
1951,1ère Doublette Drouaise,1417,20.10.2018,tournoi-badminton/1ere-doublette-drouaise-9387.html,48.7363,1.34533,15,21,
1952,10eme tournoi de doubles de Poisy,2,20.10.2018,tournoi-badminton/10eme-tournoi-de-doubles-de-poisy-9579.html,45.9214,6.06356,,,
1953,31e FZ FORZA Intl d'Aix enProvence Circuit Elite 2,1839,20.10.2018,tournoi-badminton/31e-fz-forza-intl-d-aix-enprovence-circuit-elite-2-9406.html,43.5264,5.42411,21,21,
1954,3ème tournoi de Maisons-Laffitte,1266,20.10.2018,tournoi-badminton/3eme-tournoi-de-maisons-laffitte-9411.html,48.9475,2.14239,15,21,
1955,18-19 Tournoi National Vétérans et Séniors Changé,160,20.10.2018,tournoi-badminton/18-19-tournoi-national-veterans-et-seniors-change-9444.html,48.0992,-0.782439,13,17,20
1956,tournoi du CHABAC 7éme édition,972,20.10.2018,tournoi-badminton/tournoi-du-chabac-7eme-edition-9304.html,49.6265,3.23018,13,19,
1957,Tournoi du petit bélier,186,20.10.2018,tournoi-badminton/tournoi-du-petit-belier-9631.html,47.992,-4.12771,11,15,
