Nom;Sigle;dep.;Ville;Joueurs;Age;Jeune;Sénior;Vétéran;  N  ;  R  ;  D  ;  P  ; NC ;Matchs;Points;Ecole
Martigné Bad Club;MBC;53;Martigné-sur-Mayenne;35;36.9;1;13;21;;;12;17;6;83;494.22;0
Montigny Badminton Club;MBC;62;Montigny-en-Gohelle;31;33.8;2;14;15;;;8;15;8;37;323.43;0
Miramas Badminton Club;MBC;13;Miramas;68;32.7;18;19;31;;;7;19;42;12;192.89;265
Mereau Badminton Club;MBC;18;Méreau;26;36.4;0;9;17;;;4;17;5;52;191.25;0
Martres Badminton Club;MBC;63;Les Martres-de-Veyre;25;41.0;1;7;17;;;3;13;9;0;169.78;0
Maisdon Badminton Club;MBC;44;Maisdon-sur-Sèvre;0;0.0;0;0;0;;;;;;0;0;0
Mios-Biganos Badminton Club;MBBC;33;Mios;89;27.7;28;30;31;1;17;8;18;45;63;11992.2;0
Morschwiller Berstheim Badminton;MBBAD;67;Morschwiller et BERSTHEIM;70;26.7;31;11;28;;;4;17;49;17;182.78;165
Marseille Badminton Academy;MBA;13;Marseille;3;16.7;2;1;0;;2;1;;;36;1329.29;0
Morsang S/orge Badminton;MB91;91;Morsang-sur-Orge;156;27.7;59;38;59;;13;18;26;99;13;7647.72;0
Metz Badminton;MB;57;Metz;87;24.9;41;24;22;6;19;17;10;35;250;30772;458
Magny Badminton;MB;78;Magny-les-Hameaux;99;31.4;27;23;49;;;4;31;64;0;306.63;135
Marly Bad;MB;95;Marly-la-Ville;32;24.3;13;13;6;;;5;6;21;0;151.86;0
Marssac Badminton;MB;08;Marssac-sur-Tarn;25;30.3;9;5;11;;;3;6;16;0;90.55;0
MontaBad;MB;86;Montamisé;73;31.3;23;16;34;;;;20;53;0;67.82;0
Melorienne Badminton;MB;35;Saint-Méloir-des-Ondes;31;15.8;27;1;3;;;1;5;25;0;45.91;115
Mehun Badminton;MB;18;Mehun-sur-Yèvre;40;39.9;7;4;29;;;2;2;36;4;33.53;0
Marsibad;MB;85;Saint-Mars-la-Réorthe;14;28.4;2;9;3;;;;9;5;0;15.46;0
Monter'Bad;MB;56;Monterblanc;0;0.0;0;0;0;;;;;;0;0;161
Morez Badminton;MB;39;Morez;0;0.0;0;0;0;;;;;;0;0;0
Marguerittes Shuttlecock;MASH;30;Marguerittes;21;33.9;3;8;10;;;;13;8;0;45.56;0
Massy Athletic Sports;MAS;91;Massy;199;29.6;56;69;74;;5;22;45;127;26;3284.86;0
Ligue MARTINIQUE;MART;972;Case-Pilote;229;29.7;74;59;96;;10;30;88;101;254;5798.56;0
Madrie Badminton;MADBAD;27;Val d'Hazey;54;35.1;15;7;32;;2;6;16;30;2;956.33;0
Martigues Badminton Club;MABC;13;Martigues;65;35.2;10;20;35;;18;5;22;20;170;12503;0
Les Volants Verdunois;LVV;82;Verdun-sur-Garonne;80;25.4;36;18;26;;;;23;57;0;200.11;0
Les Volants du Val;LVV;14;Moult;0;0.0;0;0;0;;;;;;0;0;0
Le Volant Salanquais;LVS;66;Torreilles;64;27.1;22;22;20;5;9;14;15;21;190;26478.9;286
Le Volant Sapien;LVS;61;Le Sap;26;26.6;10;8;8;;;2;17;7;18;79.42;149
Les Volants Solognots;LVS;41;Soings-en-Sologne;0;0.0;0;0;0;;;;;;0;0;185
Les Volants de Précy;LVPO;60;Précy-sur-Oise;45;29.5;15;17;13;;;2;13;30;0;81.88;0
Les Volants Préautais;LVP;76;Préaux;63;21.5;39;11;13;;6;8;12;37;6;2992.77;322
Le Volant Pomerolais;LVP;33;Pomerol;13;37.8;1;3;9;;4;2;1;6;0;1740.31;0
Le Volant Pïen;LVP;59;Wignehies;39;21.9;19;13;7;;3;2;13;21;61;893.53;165
Les Volants de la Mivoie;LVM;76;Amfreville-la-Mi-Voie;51;26.9;20;15;16;;1;5;20;25;11;2305.52;330
Le Volant Mornacais;LVM;16;Mornac;71;31.6;20;18;33;;;2;16;53;30;168.12;0
Les Volants Mirecurtiens;LVM;88;Mirecourt;21;24.9;9;6;6;;;;11;10;26;16.35;0
Les Volants La Richois;LVLR;37;La Riche;104;31.7;12;53;39;;6;21;16;61;107;3963.59;210
Les Volants de Lagny-sur-Marne / Montévrain;LVLM77;77;Lagny-sur-Marne / Montévrain;178;30.8;48;54;76;;16;29;44;89;37;10980;215
Les Volants de la Garonne;LVLG;31;Fenouillet;0;0.0;0;0;0;;;;;;0;0;0
Le Volant Libercourtois;LVL;62;Libercourt;37;22.8;19;11;7;;;;5;32;0;6.03;0
Les Volants Leersois;LVL;59;Leers;0;0.0;0;0;0;;;;;;0;0;0
Les Volants Landreciens;LVL;59;Landrecies;0;0.0;0;0;0;;;;;;0;0;0
Le Volant De Juvisy;LVJ;91;Juvisy-sur-Orge;110;28.8;31;42;37;;11;24;24;51;6;5893.98;269
Les Volants Joviciens;LVJ;45;Jouy-le-Potier;13;13.5;11;1;1;;;;2;11;0;10.96;0
Le Volant Hagetmautien;LVH;40;Hagetmau;43;26.0;27;3;13;;;1;13;29;0;40.29;0
Le Volant Gannatois Badminton;LVGB;03;Gannat;44;35.7;9;7;28;;;;3;41;0;5.28;0
Le Volant Gigeannais;LVG;34;Gigean;46;30.2;13;11;22;;11;3;11;21;74;5081.89;0
Le Volant Guémenois;LVG;56;Guémené-sur-Scorff;17;37.2;2;2;13;;;;4;13;0;8.59;0
Les Volants de la Fillière;LVF74;74;Groisy;93;30.0;34;17;42;;7;12;39;35;204;3056.38;230
Les Volants d'Elancourt;LVE;78;Élancourt;251;29.0;83;68;100;3;23;33;70;122;95;19341.5;388
Le Volant Enchanteur;LVE;35;Montfort;137;27.0;56;27;54;;;7;33;97;31;430.37;215
Les Volants de Noblat;LVDN;87;Saint-Léonard-de-Noblat;50;31.1;17;9;24;;;1;16;33;0;64.44;0
Les Volants De Chaville;LVDC;92;Chaville;213;25.2;89;63;61;7;22;14;59;111;220;36660.9;419
Les Volants de Calvisson;LVDC;30;Calvisson;81;31.3;35;7;39;;4;7;31;39;82;1290.67;190
Le Volant Dingue;LVD;87;Saint-Sulpice-Laurière;47;27.5;21;7;19;;;7;16;24;16;232.04;255
Les Volants De Cergy;LVC;95;Cergy;190;28.9;53;71;66;3;23;30;38;96;315;19141.6;429
LE VOLANT CHAPELLOIS;LVC;35;La Chapelle-des-Fougeretz;63;27.3;27;13;23;;;6;7;50;0;164.62;0
Le Volant Calonnois;LVC;62;Calonne-Ricouart;0;0.0;0;0;0;;;;;;0;0;0
Les Volants du Boischaut Nord;LVBN;36;Écueillé;0;0.0;0;0;0;;;;;;0;0;0
Le Volant Bourgetain;LVB73;73;Le Bourget-du-Lac;58;31.8;16;18;24;2;5;8;15;28;50;4404.55;0
La Verpilliere Badminton;LVB38;38;La Verpillière;32;30.3;12;6;14;;;2;5;25;0;31.35;0
Les Volants Barpais;LVB;33;Le Barp;89;20.4;56;9;24;;;8;21;60;85;391.56;452
Le Volant Buissonnais;LVB;24;Le Buisson-de-Cadouin;22;41.8;0;6;16;;;3;14;5;25;322.68;0
Le Volant Bouillantais;LVB;971;Bouillante;58;23.7;34;4;20;;;6;21;31;10;206.31;381
Les Volants Baventais;LVB;14;Bavent;0;0.0;0;0;0;;;;;;0;0;155
La Vaillante Autun - Badminton compétition;LVAB;71;Autun;13;28.8;2;8;3;;1;2;8;2;78;315.65;0
Le Volant de l'Alagnon;LVA15;15;Massiac;7;26.6;0;6;1;;;;3;4;0;4.01;0
LE VOLANT AIROIS;LVA;62;Aire-sur-la-Lys;331;21.1;196;63;72;19;22;25;55;210;530;193450;748
Les Volants Agogo;LVA;24;Agonac;9;31.2;0;6;3;;5;4;;;32;3659.55;0
Le Volant Ardentais;LVA;36;Ardentes;76;22.9;39;19;18;;2;14;31;29;76;1505.48;338
Les Volants D'albret;LVA;47;Nérac;63;25.3;26;20;17;;;17;25;21;107;618.04;0
Le Volant Agyle;LVA;45;Saint-Ay;37;20.2;26;3;8;;2;3;6;26;0;589.41;200
Les Volants de la Cisse;LV6;37;Pocé-sur-Cisse;56;30.2;18;10;28;;;;9;47;4;31.49;0
LUC Badminton - Lille Métropole;LUCBLM;59;Lille;233;23.9;64;137;32;14;36;35;31;117;724;82621.2;600
Les Toqués du Volant;LTV;25;Pont de Roide-Vermondans;7;31.4;0;5;2;;;1;6;;0;84.76;0
Lagord Tennis Squash;LTS;17;Lagord;0;0.0;0;0;0;;;;;;0;0;0
Les Sardines Volantes;LSV;29;Douarnenez;13;30.8;3;5;5;;;3;5;5;38;185.53;0
Lisle sur Tarn Badminton;LSTBAD;81;Lisle-sur-Tarn;43;33.2;9;7;27;;1;9;14;19;19;785.66;0
Les Sternes de Ploubaz;LSP;22;Ploubazlanec;26;26.3;13;5;8;;7;5;11;3;131;6714.58;0
Loisirs Sports Initiatives - section Badminton;LSI;07;Le Pouzin;14;32.0;4;3;7;;;4;7;3;10;119.66;0
Leopard Saint Georges Badminton;LSGB;61;St Georges Groseillers;54;25.7;22;18;14;;1;8;16;29;58;705.65;170
Levallois Sporting Club;LSC;92;Levallois-Perret;219;32.5;43;75;101;1;20;20;39;139;196;13929.1;0
Lasseube Badminton;LSB64;64;Lasseube;3;34.3;0;1;2;;;1;2;;15;49.92;0
Les Raquetteurs Tonneinquais;LRT;47;Tonneins;19;36.1;5;4;10;;;3;8;8;0;168.43;0
Les Raquettes Cognacaises;LRC;16;Saint-Brice;0;0.0;0;0;0;;;;;;0;0;0
Les Plumes Varzecoises;LPV;29;Saint-Évarzec;27;34.0;3;8;16;;2;5;18;2;70;912.27;0
Les Plumes Volantes;LPV;35;Saint-Erblon;61;27.4;27;10;24;;1;10;19;31;0;748.37;150
Les Plumes Vendarguoises;LPV;34;Vendargues;11;33.1;2;2;7;;;;1;10;0;4.73;0
La Plume et le Volant;LPV;13;Châteaurenard;0;0.0;0;0;0;;;;;;0;0;0
La Plume Tourangelle St Georges;LPTSG;41;Saint-Georges-sur-Cher;50;26.4;22;11;17;;1;7;22;20;32;389.54;262
La Plume Du Tampon;LPT;974;Le Tampon;64;23.9;29;22;13;;2;14;9;39;0;1530.33;0
La Plume Toulougienne;LPT;66;Toulouges;92;24.9;48;14;30;;;5;12;75;19;215.35;170
Le Poix Plume;LPP;08;Poix-Terron;15;33.6;0;9;6;;;5;7;3;40;192.19;0
Les Plumes Oléronaises;LPO17;17;Saint-Pierre-d'Oléron;56;28.3;27;7;22;;;11;16;29;0;340;0
La Plume Montmelianaise;LPM73;73;Montmélian;68;32.0;17;17;34;;6;10;22;30;43;2152.7;140
Les Plumes Langonnaises Badminton;LPLB;33;Langon;24;36.8;2;8;14;;;3;6;15;8;107.4;0
La Plume Louvernéenne;LPL53;53;Louverné;19;38.3;0;5;14;;2;8;9;;79;1208.41;0
Les Plumes Lormontaises;LPL;33;Lormont;27;35.5;1;10;16;1;5;8;2;11;47;5743.02;0
Les Plumes Lavalloises;LPL;53;Laval;46;24.1;17;18;11;;;1;15;30;42;97.05;170
La Plume de Gallardon;LPG28;28;Gallardon;40;25.1;20;5;15;;;2;9;29;0;37.41;193
La Plume Guyanaise;LPG;973;Cayenne;2;36.5;0;1;1;;;;1;1;0;4;0
Les Plum'Eure de Jouy-Saint Prest;LPEJSP;28;Jouy-Saint Prest;84;27.3;36;17;31;;;9;40;35;75;497.74;195
Les Plumes Duclairoises;LPD;76;Duclair;53;26.7;22;9;22;;5;6;5;37;3;1781.9;0
La Plume des Achards;LPA;85;La Chapelle-Achard;89;28.5;28;24;37;;;11;12;66;72;439.16;105
Longpont Omnisport;LOS;91;Longpont-sur-Orge;158;27.0;71;27;60;;;5;40;113;4;330.21;275
Loisir Oison Badminton;LOB;27;La Saussaye;4;50.5;0;0;4;;;1;2;1;0;44.92;0
Les Nuages De Plumes De Champlan;LNPC;91;Champlan;32;38.8;0;12;20;;;;;32;0;0;0
Le Neubourg Badminton Club;LNBC;27;Le Neubourg;14;33.4;2;4;8;;;;7;7;0;52.12;0
LINNAM;LN;75;Paris;140;27.5;39;61;40;1;3;27;29;80;88;4140.12;205
Les Manchots de la rade;LMR;29;Brest;203;23.1;89;75;39;5;30;17;54;97;463;39593.1;685
Labastide-Murat Badminton Club;LMBC46;46;COEUR DE CAUSSE;24;18.4;15;4;5;;;1;6;17;44;74.5;0
LE MANS BADMINTON;LMB;72;Le Mans;78;26.3;37;14;27;;2;13;25;38;90;948.69;515
League Miler Athletic;LMA45;45;Meung-sur-Loire;0;0.0;0;0;0;;;;;;0;0;0
Leo Lagrange Nantes;LLN;44;Nantes;133;31.3;23;63;47;;9;6;31;87;45;3756.45;0
La Ligugéenne de Badminton;LLB;86;Ligugé;122;27.1;39;45;38;6;19;27;26;44;234;28319;212
L'Inter'Val;LIV;35;Plélan-le-Grand;17;36.2;1;6;10;;;4;11;2;0;225.81;0
Ligue ILE DE FRANCE;LIFB;75;Paris;30185;28.6;9986;9392;10807;370;1751;3301;7289;17474;21303;2801750;0
La Gauloise de Trinité;LGT;972;Le Robert;15;35.5;2;4;9;;;;9;6;0;78.75;0
Les Fous du Volant Montilien;LFVM;84;Monteux;0;0.0;0;0;0;;;;;;0;0;0
Les Fous du Volant;LFVK;56;Kervignac;130;24.2;66;20;44;;3;34;34;59;273;2629.44;571
Les Fous du Volant Bray sur Somme;LFVBS;80;Bray-sur-Somme;29;24.5;13;8;8;;;1;16;12;14;157.19;247
Les Fous du Volant Paris;LFV75;75;Paris;23;36.0;8;2;13;;;;2;21;0;0.97;0
Ass  Les Fous Du Volant;LFV04;04;Forcalquier;31;21.2;19;5;7;;2;2;10;17;66;495.94;0
Le Fouette Isberguois;LFI;62;Isbergues;33;30.2;8;10;15;;;;4;29;0;54.03;0
Les Fous du Volant Requista;LFDVR;12;Réquista;4;26.5;2;0;2;;;2;1;1;0;51.16;0
Les Fous Du Volant Nexonnais;LFDVN;87;Nexon;49;25.3;20;15;14;;;1;20;28;8;126.96;0
Les Fous du Volant Golfech;LFDV82;82;Golfech;71;31.6;21;19;31;;5;11;24;31;146;1846.27;0
Les Fous Du Volant St Julien -ASCDG;LFDV74;74;Saint-Julien-en-Genevois;30;41.3;0;10;20;;;;1;29;0;1.79;0
Les Fous Du Volant La Fouillouse;LFDV42;42;La Fouillouse;95;32.8;12;39;44;;4;10;37;44;78;1405.78;0
Les Fous Du Volant Vinay;LFDV38;38;Vinay;98;27.8;41;17;40;;15;9;25;49;124;7619.71;331
Les Fous Du Volant St Berthevin;LFDV1;53;Saint-Berthevin;36;30.9;9;9;18;;;2;20;14;60;211.08;170
Les Fous Du Volant Tulle;LFDV;19;Tulle;75;27.9;29;20;26;;1;13;27;34;206;934.75;165
Les Fous du Volant;LFDV;70;Gy;40;28.4;14;6;20;;1;6;13;20;59;509.39;0
Les Fous du Volant;LFDV;974;Saint-Denis;14;43.4;2;1;11;;;2;4;8;0;70.77;0
Les Fous Du Volant Chinon;LFDV;37;Chinon;42;28.7;17;6;19;;;2;10;30;15;52.05;205
Les Fous du Volant Cransacois;LFC12;12;Cransac;4;39.0;0;1;3;;;1;3;;6;42.55;0
Le Fun  Club;LFC;974;St Louis;64;19.7;44;9;11;;3;10;14;37;5;2310.15;260
Badminton Biars Bretenoux;LES3B;46;Biars-sur-Cère;57;27.4;20;18;19;;2;12;15;28;26;800.94;185
Les Ecureuils de Péronne;LEP;80;Péronne;65;20.4;38;16;11;;7;17;18;23;291;3872.05;275
Le Cellier Ligné Union Badminton;LECLUB;44;Le Cellier - Ligné;137;23.0;70;29;38;7;6;22;43;59;308;32968.2;633
Dauphinoise De Coublevie;LDCB38;38;Coublevie;12;43.8;0;1;11;;1;4;1;6;0;327.25;0
LES DOUAI DU BAD;LDB;59;Douai;83;22.4;46;18;19;;5;10;17;51;57;2198.17;248
Langeais Cinq Mars Badminton;LCM;37;Langeais;42;34.1;4;19;19;;2;7;8;25;36;669.38;0
Loisirs Cooperatifs Havrais;LCH;76;Le Havre;79;29.2;31;20;28;;3;11;15;50;48;2497.01;262
Loisirs et culture Bretteville/odon;LCBO;14;Bretteville-sur-Odon;107;25.5;53;17;37;;11;16;31;49;50;4756.84;295
La Ciotat Badminton;LCB;13;La Ciotat;83;31.3;28;19;36;;2;7;24;50;4;790.4;0
Les Bad's de Nancray;LBN;25;Nancray;16;36.4;1;9;6;;;;5;11;4;3.24;0
Les Bramentombes;LBMT;23;La Souterraine;12;32.2;2;6;4;;1;1;8;2;5;227.84;165
Limoux Badminton Haute-Vallée;LBHV;11;Limoux;63;27.1;29;11;23;;1;10;18;34;31;626.39;329
Les Loustic'bad Glazik;LBG;29;Briec;20;23.4;12;3;5;;2;4;10;4;22;736.69;0
Le Badminton Guénangeois;LBG;57;Guénange;52;26.8;20;20;12;;1;6;15;30;23;678.13;0
Leforest Badminton Club;LBCL;62;Leforest;79;27.0;33;16;30;;9;9;23;38;91;4142.61;281
Laudon Badminton Club Saint Jorioz;LBC74;74;Saint-Jorioz;75;37.0;15;15;45;;1;3;19;52;10;370.93;0
Laon Badminton Club;LBC;02;Laon;136;25.0;66;26;44;;11;29;30;66;235;7070.28;426
Lamballe Badminton Club;LBC;22;Lamballe;95;27.2;37;22;36;;2;20;34;39;52;1331.43;333
Longuenesse Badminton Club;LBC;62;Longuenesse;43;31.0;6;23;14;;1;10;8;24;38;722.86;0
Le Badminton Crechois;LBC;71;Crêches-sur-Saône;65;27.4;33;5;27;;1;6;21;37;27;396.18;0
Lunéville Badminton Club;LBC;54;Lunéville;17;37.9;3;3;11;;;4;13;;23;189.74;170
Lapwent Badminton Club;LBC;971;Pointe-à-Pitre;15;45.7;1;1;13;;;4;7;4;22;180.39;0
Lailly Badminton Club;LBC;45;Lailly-en-Val;28;35.2;1;10;17;;;3;17;8;49;146.1;0
Larians Badminton Club;LBC;70;LARIANS;13;33.7;1;5;7;;;;11;2;24;37.16;0
Luchon Badminton Club;LBC;31;Bagnères-de-Luchon;0;0.0;0;0;0;;;;;;0;0;0
Lescure Badminton Club;LBC;81;Lescure-d'Albigeois;0;0.0;0;0;0;;;;;;0;0;0
Les Badistes du Born;LBB;40;Mimizan;27;33.6;6;10;11;;1;5;4;17;49;570.87;0
L'Etoile du Bad de Bourgogne;LBB;51;Bourgogne;18;40.2;0;4;14;;;;3;15;0;3.57;0
La Bressaude Badminton;LBB;88;La Bresse;0;0.0;0;0;0;;;;;;0;0;0
Lognes Badminton;LB;77;Lognes;87;27.7;33;27;27;;6;12;20;49;20;3626.35;203
Luz Badminton;LB;64;Saint-Jean-de-Luz;55;28.9;18;17;20;;2;4;10;39;14;450.94;0
Les Affranchis du Volant du Rail;LAVR;08;La Francheville;43;24.7;15;15;13;;4;12;16;11;160;1742.83;195
Ass. Sportive de Badminton;LAVOLANTE;08;Nouzonville;34;26.9;18;4;12;;;1;18;15;20;113.48;260
La Turbad;LATURBAD;44;La Turballe;25;38.3;6;4;15;;;;9;16;12;19.02;0
Larcay Badminton;LARCAYBAD;37;Larçay;25;35.8;8;2;15;;;1;8;16;5;36.43;0
Les As Du Volant Section Badminton;LADV;33;Cadillac;93;24.7;45;22;26;;11;6;24;52;52;4539.11;304
Les As du Volant;LADV;81;Saint-Sulpice;80;25.8;38;14;28;;1;5;18;56;16;432.13;0
Club de l'Hers;L'HERS;31;Saint-Orens-de-Gameville;0;0.0;0;0;0;;;;;;0;0;0
Kiwis Volants Badminton;KVB;80;Villers-Bretonneux;32;35.2;3;12;17;;1;2;11;18;0;268.68;0
Karukera Sporting Club;KSC;971;Petit-Bourg;17;20.0;12;2;3;;;7;7;3;23;214.17;263
Kourou Reflexe Badminton;KRB;973;Kourou;71;19.6;49;13;9;;1;3;36;31;0;405;255
Kimbad Ollioules;KO83;83;Ollioules;127;31.3;34;43;50;8;21;17;33;48;327;38980.6;418
Jeunesse d'Yvrac Badminton;JYB;33;Yvrac;150;33.3;26;46;78;1;21;14;36;78;101;17077.7;0
Juvibad;JUVIBAD;34;Juvignac;140;28.6;45;45;50;;8;19;39;74;172;3802.13;0
Js. Nouvoitou Section Badminton;JSNB;35;Nouvoitou;0;0.0;0;0;0;;;;;;0;0;115
Jeunesses Sportives De Coulaines;JSC;72;Coulaines;71;30.1;15;29;27;;14;27;27;3;113;7327.94;0
Jeunesse Sportive Bonifacienne Futsal;JSBFB;20;BONIFACIO;0;0.0;0;0;0;;;;;;0;0;0
J.s.b. Labouheyre;JSB;40;Labouheyre;4;31.5;1;0;3;;;1;1;2;3;14.68;0
Joyeuse Plume Des Aspres;JPA;66;Thuir;58;31.0;16;17;25;;;;13;45;0;33.54;0
JURY BADMINTON CLUB;JBC;57;Jury;59;24.1;35;8;16;;;12;23;24;85;435.71;180
Jeanne D'arc St Servan;JASS;35;Saint-Malo;80;24.0;50;9;21;2;12;12;12;42;92;11307.5;420
Jeanne d'Arc Maisons-Alfort;JAMA;94;Maisons-Alfort;197;25.5;80;65;52;;13;31;35;118;136;4745.09;255
Jeanne d'Arc de Caluire;JAA69;69;Caluire-et-Cuire;118;30.6;44;26;48;;1;5;60;52;117;412.23;175
Indépendante de St Georges de Chesné;ISGC;35;Saint-Georges-de-Chesné;0;0.0;0;0;0;;;;;;0;0;0
Istres Sports Badminton;ISB;13;Istres;127;27.3;45;31;51;6;22;10;24;65;300;30554.5;355
Issy Les Mx Badminton Club;IMBC92;92;Issy-les-Moulineaux;517;31.0;104;214;199;18;24;17;82;376;190;195508;432
I'M BAD Beaumont;IMBAD63;63;Beaumont;226;29.6;46;109;71;5;24;38;83;76;272;34500.6;329
Badmint'ifs;IFS;14;Ifs;219;26.7;81;74;64;2;32;33;54;98;308;24785.7;581
Isula Bad;IB;20;Île-Rousse;0;0.0;0;0;0;;;;;;0;0;0
Hautes Vosges Badminton 88;HVB88;88;Remiremont;91;20.1;58;21;12;;7;24;28;32;122;4593.94;230
Ass. Spor. Hewlett-packard;HP38;38;Grenoble;35;42.7;0;4;31;;20;7;7;1;97;9132.81;0
Ligue HAUTS-DE-FRANCE;HFRA;59;Villeneuve-d'Ascq;9174;25.0;4013;2589;2572;173;528;1131;2290;5052;13716;1456720;0
Her Badminton;HBN;85;Noirmoutier-en-l'Île;25;34.2;1;16;8;;;2;5;18;18;55.03;0
Havre Badminton Club;HBC;76;Le Havre;18;24.4;5;11;2;1;9;4;2;2;19;8261.3;600
Hautepierre B.c. Strasbourg;HBC;67;Strasbourg;64;27.1;20;29;15;;4;15;20;25;32;1594.91;281
Herbignac Badminton Club;HBC;44;Herbignac;64;24.4;33;13;18;;;8;27;29;21;353.35;0
Hénon Badminton Club;HBC;22;Hénon;35;23.7;18;5;12;;;2;15;18;7;185.54;0
Hem Badminton;HB;59;Hem;219;23.4;111;51;57;10;25;34;57;93;689;61691.5;744
Garde Du Voeu Hennebont Badminton;GVH;56;Hennebont;0;0.0;0;0;0;;;;;;0;0;0
Gresi'volant;GVB38;38;Villard-Bonnot;94;29.6;32;20;42;;2;11;30;51;76;997.1;255
Genest Bad Volant;GVB;53;Le Genest-Saint-Isle;14;35.2;0;6;8;;;3;9;2;40;138.53;0
Grandvaux Volant;GV39;39;Saint-Laurent-en-Grandvaux;0;0.0;0;0;0;;;;;;0;0;0
Ligue GUYANE;GUYA;973;Cayenne;167;23.2;95;31;41;;1;17;70;79;0;995.85;0
Gus Bad;GUSBAD;94;Gentilly;30;29.9;8;14;8;1;8;10;11;;4;5831.56;0
Ligue GUADELOUPE;GUAD;971;Sainte-Anne;342;28.5;134;68;140;1;13;43;114;171;97;10414.8;0
Groupe Sportif Lugdunum;GSL69;69;Villeurbanne;170;28.0;49;72;49;2;21;26;44;77;180;15983.7;253
Grésy sur Isère Badminton;GSIB73;73;Grésy-sur-Isère;37;24.8;20;5;12;;;1;19;17;35;113.33;165
Goodminton;GP;75;Paris;0;0.0;0;0;0;;;;;;0;0;0
GLS Rennes;GLS;35;Rennes;0;0.0;0;0;0;;;;;;0;0;0
Gips Badminton;GIPS.BAD;24;Tocane-Saint-Apre;13;35.2;1;3;9;;;;4;9;10;4.44;0
Gymnase Français;GF;93;Rosny-sous-Bois;40;28.9;6;22;12;2;7;11;16;4;66;6770.37;0
Ligue GRAND EST;GEST;54;Tomblaine;12200;26.8;4859;3335;4006;221;996;2264;2915;5804;16777;1643800;0
Les Grands Barjots de Le Grand Bourg;GBGB;23;Le Grand-Bourg;50;29.0;15;14;21;;2;5;18;25;72;518.38;0
Gaspar Badminton Club;GBC12;12;Villefranche-de-Rouergue;120;24.2;62;25;33;;3;13;36;68;41;1382.06;0
Gradignan Badminton Club;GBC;33;Gradignan;179;25.5;70;61;48;4;16;26;38;95;270;23703.9;593
Grosbreuil Badminton Club;GBC;85;Grosbreuil;34;28.3;15;7;12;;2;8;13;11;98;812.82;0
Badminton Club Guillestrois;GBC;05;Guillestre;14;35.5;2;4;8;;1;1;9;3;21;423.73;135
Grenay Badminton Club;GBC;62;Grenay;65;27.0;25;14;26;;;7;36;22;86;397.85;0
Grébadist'Club;GBC;56;Grand-Champ;27;37.6;1;10;16;;;;7;20;0;43.47;0
Gazelec Badminton Bourges;GBB;18;Bourges;27;39.9;0;9;18;;1;12;7;7;39;1104.53;0
Gex Badminton;GB01;01;Gex;138;28.3;55;28;55;;;3;32;103;45;139.4;298
Grenoble Alpes Badminton;GAB38;38;Grenoble;134;22.0;28;98;8;27;39;27;26;15;864;156338;685
Les Fous Volants Vigneux;FVVP;44;Vigneux-de-Bretagne;104;38.1;10;30;64;;;4;54;46;6;449.29;0
Les Fous du Volant en Terres Vives;FVTV;18;Saint-Martin-d'Auxigny;56;26.7;25;11;20;;;9;21;26;37;345.01;254
Les Fous Du Volant Quincy/senart;FVQ;91;Quincy-sous-Sénart;138;27.1;57;33;48;;4;18;37;79;10;2336.32;315
Les Fous Du Volant A Plumes;FVP;27;Gisors;78;28.7;32;16;30;;2;7;27;42;0;797.43;0
Les Fous du Volant Ploufraganais;FVP;22;Ploufragan;47;28.9;14;18;15;;;6;25;16;46;418.7;130
Les Fous du Volant;FVI;35;Irodouër;8;39.0;0;2;6;;;1;7;;0;57.13;0
Les Frappés du Volant;FVH;22;Hillion;66;20.9;39;15;12;;;1;14;51;15;68.9;150
Les Fous Du Volant Dourdan Bad;FVDB;91;Dourdan;74;28.4;31;15;28;;;4;14;56;0;210;135
Les Fous du Volant Domloup;FVD35;35;Domloup;19;33.1;1;8;10;;;3;14;2;0;184.17;0
Les Fous Du Volant;FVCN;35;Corps-Nuds;38;17.2;29;1;8;;;1;8;29;2;64.47;0
Fous Du Volant C. B. Estillac;FVCBE;47;Estillac;20;38.4;1;8;11;;;4;6;10;29;254.88;0
Les Frappés du Volant-Badminton Sombernon;FVBS;21;Sombernon;11;37.4;3;0;8;;;5;5;1;6;253.89;245
Fous Du Volant B C Colpo;FVBCC;56;Colpo;25;22.2;17;3;5;;;;4;21;0;30.52;85
Fous Du Volant Bayeusains;FVB;14;Bayeux;165;26.7;77;22;66;;12;15;16;122;124;4238.14;365
Les Fous du Volant Aussonnais;FVA;31;Aussonne;139;35.4;25;23;91;;2;3;48;86;31;625.49;175
Les Fous du Volant Ambrault;FVA;36;Ambrault;24;33.8;5;4;15;;1;1;19;3;35;236.65;200
Faches Thumesnil Badminton;FTBAD;59;Faches-Thumesnil;75;22.1;39;19;17;;4;3;14;54;32;1075.88;311
Foyer Rural Rozoy/Serre Badminton;FRRB;02;Rozoy-sur-Serre;18;33.3;1;9;8;;;2;16;;32;101.37;0
Fous de la Raquette de Jouy le Moutier;FRJM;95;Jouy-le-Moutier;110;25.0;58;13;39;;1;14;38;57;22;770.4;455
Badminton Meilhan;FRJEP;40;Meilhan;38;23.7;23;5;10;;5;7;9;17;52;2718.49;250
Foyer Rural de la Canourgue / Badminton Club;FRC.BC;48;La Canourgue;13;32.1;1;6;6;;;1;5;7;44;42.47;0
