id,name,club_id,start_date,url,lat,long,price_1_tab,price_2_tabs,price_3_tabs
1345,Coupe Géante des Hauts-de-Seine-Phase 2,987,16.06.2018,tournoi-badminton/17-18-coupe-geante-des-hauts-de-seine-phase-2-9220.html,48.8266,2.23958,10,15,
1346, Tournoi du Vignoble Séniors,1998,16.06.2018,tournoi-badminton/17-18-tournoi-du-vignoble-seniors-9051.html,47.2346,-1.34468,11,16,
1347, Coupe de la Loire,1093,16.06.2018,tournoi-badminton/17-18-coupe-de-la-loire-9136.html,46.0429,4.06779,14,18,
1348, Les plumes du Loriot,2026,16.06.2018,tournoi-badminton/17-18-les-plumes-du-loriot-7914.html,43.3697,5.6456,16,19,
1349, TDJ de St etienne de Montluc,2117,16.06.2018,tournoi-badminton/17-18-tdj-de-st-etienne-de-montluc-9250.html,47.2825,-1.7848,5,,
1350,7ème tournoi national seniors d'Alençon,1182,16.06.2018,tournoi-badminton/17-18-7eme-tournoi-national-seniors-d-alencon-8876.html,48.4337,0.0894789,12,17,20
1351, Tournoi des collines,1598,16.06.2018,tournoi-badminton/17-18-tournoi-des-collines-9117.html,45.0764,4.95937,10,10,
1352,ECOBAD IN SOUTHTOWN (40),258,16.06.2018,tournoi-badminton/17-18-ecobad-in-southtown-40-9132.html,43.7564,-1.33461,13,17,
1353, TOURNOI DE DOUBLE BOURG DE PEAGE,1635,16.06.2018,tournoi-badminton/17-18-tournoi-de-double-bourg-de-peage-8972.html,45.0383,5.05631,14,18,
1354, TOURNOI DES CIGALES,1251,16.06.2018,tournoi-badminton/17-18-tournoi-des-cigales-9170.html,43.9992,5.06782,,,
1355, Tournoi de TALANT,227,16.06.2018,tournoi-badminton/17-18-tournoi-de-talant-8630.html,47.3338,5.0014,13,18,
1356,7ème Tournoi National du MBC,509,16.06.2018,tournoi-badminton/17-18-7eme-tournoi-national-du-mbc-9169.html,47.8942,-1.99388,11,16,
1357, La Plume d'Or III,1621,16.06.2018,tournoi-badminton/17-18-la-plume-d-or-iii-7752.html,43.5522,6.96089,15,20,
1358, Stage Badminton,97,16.06.2018,tournoi-badminton/17-18-stage-badminton-9113.html,44.7891,-0.589153,20,,
1359,35ème tournoi senior et vétérans,2021,16.06.2018,tournoi-badminton/17-18-35eme-tournoi-senior-et-veterans-9164.html,43.4536,1579,12,16,
